horodatage,id_session,nom_session,date_session,jour_semaine,heure,coach,lieu,capacite,places_restantes,places_reservees,taux_remplissage_pct,liste_attente_pleine
2026-07-21 15:04:04,137620363,Dynamic Fit 🤎 Reformer,2026-08-04 13:15:00,Mardi,13:15,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137620311,Soft & Stretch 🤎 Reformer,2026-08-04 14:30:00,Mardi,14:30,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137620422,Core & Tone 🤎 Reformer,2026-08-04 16:00:00,Mardi,16:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137620475,Fondation 2 🤎 Reformer,2026-08-04 17:00:00,Mardi,17:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137620529,Flow Trio 🤎 Reformer,2026-08-04 18:00:00,Mardi,18:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137620585,Sculpt 🤎 Reformer,2026-08-04 19:00:00,Mardi,19:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137684442,Sculpt ⭐️ Pilates Mat ,2026-08-05 12:15:00,Mercredi,12:15,Léa Aveline,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137679563,Fondation 2 🤎 Reformer,2026-08-05 12:15:00,Mercredi,12:15,Sabine  Forêt ,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137684513,Soft & Stretch ⭐️ Pilates Mat,2026-08-05 13:15:00,Mercredi,13:15,Léa Aveline,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137679716,Flow Trio 🤎 Reformer,2026-08-05 13:15:00,Mercredi,13:15,Sabine  Forêt ,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137684669,Sculpt ⭐️ Pilates Mat ,2026-08-05 14:30:00,Mercredi,14:30,Léa Aveline,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137680222,Dynamic Fit 🤎 Reformer,2026-08-05 14:30:00,Mercredi,14:30,Sabine  Forêt ,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680337,Sculpt 🤎 Reformer,2026-08-05 17:00:00,Mercredi,17:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680394,Fondation 2 🤎 Reformer,2026-08-05 18:00:00,Mercredi,18:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680446,Core & Tone 🤎 Reformer,2026-08-05 19:00:00,Mercredi,19:00,Léa Aveline,Reformer,5,5,0,0.0,False
